# n=300
# --never-mutate-zero-bits=true
# --include-best-mutant=true
# --ignore-crossover-parent-duplicates=true
fitness,best-lambda,runtime-to-optimum
299,19.5,139.70267707645576
298,14.5,235.0765344941178
297,11.5,311.04854589731895
296,10.5,375.461020739704
295,9.5,432.02248546936
294,8.5,482.81834893601825
293,8.5,529.1105473010721
292,7.5,571.7571087113872
291,7.5,611.3763775300905
290,6.5,648.5106147870065
289,6.5,683.3616716491337
288,6.5,716.2784232464039
287,6.5,747.5239886047962
286,5.5,777.238254452186
285,5.5,805.5320968029135
284,5.5,832.5674708342738
283,5.5,858.4751885465434
282,5.5,883.3647989040378
281,4.5,907.2358735434098
280,4.5,930.1740421054112
279,4.5,952.2599836424259
278,1.0,973.3756596235811
277,1.0,993.4739437091085
276,1.0,1012.6450103998797
275,1.0,1030.9636446963216
274,1.0,1048.4960497569737
273,1.0,1065.3010667900708
272,1.0,1081.431226790837
271,1.0,1096.9336209912458
270,1.0,1111.8506262286771
269,1.0,1126.2205133186312
268,1.0,1140.0779603682788
267,1.0,1153.4544883143335
266,1.0,1166.3788324103912
265,1.0,1178.8772606438392
264,1.0,1190.9738479274226
263,1.0,1202.690713237152
262,1.0,1214.048225547154
261,1.0,1225.0651833619363
260,1.0,1235.7589718064728
259,1.0,1246.1457005583395
258,1.0,1256.2403253587634
257,1.0,1266.0567553939031
256,1.0,1275.6079484731677
255,1.0,1284.9059956316325
254,1.0,1293.9621965360386
253,1.0,1302.7871268683832
252,1.0,1311.390698689922
251,1.0,1319.7822146451215
250,1.0,1327.9704167447853
249,1.0,1335.9635303660968
248,1.0,1343.7693040214851
247,1.0,1351.3950453753216
246,1.0,1358.8476539253618
245,1.0,1366.1336507127762
244,1.0,1373.2592053791568
243,1.0,1380.2301608497567
242,1.0,1387.0520558885414
241,1.0,1393.7301457414742
240,1.0,1400.2694210592188
239,1.0,1406.674625268514
238,1.0,1412.950270542333
237,1.0,1419.1006525023008
236,1.0,1425.1298637722075
235,1.0,1431.0418064886928
234,1.0,1436.8402038638928
233,1.0,1442.528610884959
232,1.0,1448.1104242266135
231,1.0,1453.5888914451696
230,1.0,1458.967119515619
229,1.0,1464.2480827672962
228,1.0,1469.4346302682432
227,1.0,1474.5294927035973
226,1.0,1479.535288789025
225,1.0,1484.454531256395
224,1.0,1489.2896324454814
223,1.0,1494.0429095323793
222,1.0,1498.716589422594
221,1.0,1503.312813334271
220,1.0,1507.8336410948048
219,1.0,1512.2810551720704
218,1.0,1516.6569644596789
217,1.0,1520.9632078340665
216,1.0,1525.2015574996942
215,1.0,1529.3737221373342
214,1.0,1533.4813498691685
213,1.0,1537.526031053348
212,1.0,1541.5093009196346
211,1.0,1545.432642056845
210,1.0,1549.2974867619773
209,1.0,1553.10521926014
208,1.0,1556.8571778037158
207,1.0,1560.5546566585476
206,1.0,1564.1989079843675
205,1.0,1567.7911436161369
204,1.0,1571.3325367525126
203,1.0,1574.8242235571631
202,1.0,1578.2673046782857
201,1.0,1581.6628466912841
200,1.0,1585.0118834692112
199,1.0,1588.3154174852716
198,1.0,1591.5744210513888
197,1.0,1594.7898374965525
196,1.0,1597.9625822884307
195,1.0,1601.0935441014785
194,1.0,1604.1835858345905
193,1.0,1607.2335455811096
192,1.0,1610.2442375538503
191,1.0,1613.2164529676136
190,1.0,1616.1509608815086
189,1.0,1619.0485090032587
188,1.0,1621.9098244575277
187,1.0,1624.7356145201811
186,1.0,1627.526567320269
185,1.0,1630.283352511423
184,1.0,1633.0066219142477
183,1.0,1635.6970101311945
182,1.0,1638.3551351353178
181,1.0,1640.9815988342298
180,1.0,1643.5769876105023
179,1.0,1646.1418728396736
178,1.0,1648.6768113869725
177,1.0,1651.1823460837868
176,1.0,1653.6590061848717
175,1.0,1656.1073078072106
174,1.0,1658.5277543514153
173,1.0,1660.920836906472
172,1.0,1663.2870346386387
171,1.0,1665.6268151652157
170,1.0,1667.9406349138842
169,1.0,1670.228939468295
168,1.0,1672.4921639005133
167,1.0,1674.7307330909198
166,1.0,1676.945062036134
165,1.0,1679.135556145489
164,1.0,1681.3026115265616
163,1.0,1683.446615260243
162,1.0,1685.5679456658017
161,1.0,1687.6669725563697
160,1.0,1689.744057485269
159,1.0,1691.7995539835601
158,1.0,1693.8338077891972
157,1.0,1695.8471570681209
156,1.0,1697.839932627655
155,1.0,1699.8124581224904
154,1.0,1701.7650502536017
153,1.0,1703.6980189603446
152,1.0,1705.6116676060415
151,1.0,1707.5062931573052
150,1.0,1709.3821863573546
149,1.0,1711.2396318935537
148,1.0,1713.0789085594172
147,1.0,1714.9002894112887
146,1.0,1716.704041919899
145,1.0,1718.4904281170136
144,1.0,1720.259704737347
143,1.0,1722.0121233559319
142,1.0,1723.7479305211116
141,1.0,1725.4673678833278
140,1.0,1727.170672319854
139,1.0,1728.858076055633
138,1.0,1730.529806780355
137,1.0,1732.1860877619265
136,1.0,1733.827137956449
135,1.0,1735.453172114847
134,1.0,1737.0644008862566
133,1.0,1738.6610309182984
132,1.0,1740.2432649543443
131,1.0,1741.8113019278828
130,1.0,1743.3653370540883
129,1.0,1744.9055619186913
128,1.0,1746.432164564247
127,1.0,1747.945329573886
126,1.0,1749.4452381526414
125,1.0,1750.9320682064333
124,1.0,1752.405994418787
123,1.0,1753.8671883253683
122,1.0,1755.3158183864073
121,1.0,1756.7520500570743
120,1.0,1758.176045855893
119,1.0,1759.5879654312396
118,1.0,1760.9879656259973
117,1.0,1762.3762005404303
116,1.0,1763.7528215933378
115,1.0,1765.1179775815222
114,1.0,1766.4718147376623
113,1.0,1767.8144767866122
112,1.0,1769.146105000188
111,1.0,1770.4668382504935
110,1.0,1771.7768130618274
109,1.0,1773.076163661213
108,1.0,1774.3650220276
107,1.0,1775.643517939782
106,1.0,1776.9117790230562
105,1.0,1778.1699307946815
104,1.0,1779.4180967081581
103,1.0,1780.6563981963716
102,1.0,1781.8849547136372
101,1.0,1783.1038837766685
100,1.0,1784.3133010045212
99,1.0,1785.5133201575136
98,1.0,1786.7040531751893
97,1.0,1787.8856102133198
96,1.0,1789.0580996799988
95,1.0,1790.2216282708337
94,1.0,1791.376301003287
93,1.0,1792.5222212501549
92,1.0,1793.6594907722563
91,1.0,1794.788209750305
90,1.0,1795.9084768160315
89,1.0,1797.0203890825442
88,1.0,1798.1240421739697
87,1.0,1799.219530254388
86,1.0,1800.3069460560803
85,1.0,1801.3863809071077
84,1.0,1802.4579247582476
83,1.0,1803.5216662092944
82,1.0,1804.5776925347532
81,1.0,1805.6260897089326
80,1.0,1806.666942430462
79,1.0,1807.7003341462425
78,1.0,1808.7263470748546
77,1.0,1809.745062229425
