lambda,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,rounding
1.0,3601.4474927258557,3602.3055070213027,3603.1640933255608,3604.023251637409,3604.8829819553016,3605.7432842771204,3606.6041586003566,3607.4656049220653,3608.327623238787,3609.1902135465984,3610.053375841186,3610.9171101177158,3611.781416370907,3612.6462945950443,3613.5117447839234,3614.377766930923,3615.244361028907,3616.1115270703076,3616.979265047123,3617.847574950875,3618.7164567726145,3619.5859105029353,3620.4559361319903,3621.3265336494646,3622.1977030445883,3623.069444306122,3623.9417574223758,3624.81464238124,3625.688099170044,3626.562127775763,3627.4367281848954,3628.3119003834177,3629.1876443569167,3630.063960090513,3630.9408475688238,3631.8183067760588,3632.69633769596,3633.5749403117534,3634.4541146063257,3635.3338605619706,3601.4474927258557
1.1,3648.6007321853267,3582.291540076755,3529.534024272691,3486.706675259931,3451.3697858378496,3421.81958368142,3396.830077210949,3375.4964602841783,3357.1363314351443,3341.225268649,3327.35358314206,3315.1965511196254,3304.4934646301795,3295.03259644459,3286.640218346715,3279.17245240318,3272.509137385042,3266.5491516260895,3261.206803882076,3256.4090177983453,3252.093113306627,3248.205042073319,3244.697971917268,3241.531142024555,3238.6689301878437,3236.080087446265,3233.7371059308484,3231.615693487933,3229.694334488749,3227.9539206610625,3226.377439162005,3224.949707718585,3223.6571486872185,3222.4875954639706,3221.4301259227736,3220.4749185427318,3219.613127670821,3218.8367749935496,3218.1386547965226,3217.5122510004767,3648.6007321853267
1.2,3691.9765271688016,3579.65765384785,3501.6813568482426,3444.8134053978347,3401.8225921532817,3368.4230839898805,3341.9131762605693,3320.5053367026185,3302.9699103428397,3288.433543091518,3276.259213633753,3265.971748464739,3257.209883695773,3249.694442068186,3243.206629991767,3237.5728806104926,3232.6540430530895,3228.3375251200146,3224.531485251615,3221.160473468731,3218.162114539175,3215.48455263992,3213.08446045438,3210.92547220867,3208.976939023047,3207.2129320812614,3205.6114383188014,3204.153707098435,3202.8237163386175,3201.6077339037665,3200.4939555199876,3199.472204574322,3198.533682258956,3197.6707588970726,3196.876799121273,3196.14601500287,3195.4733423520415,3194.854336295007,3194.2850829402178,3193.7621245121154,3691.9765271688016
1.3,3733.055549149518,3584.334822161005,3490.101668784177,3425.6998230497256,3379.3462278822844,3344.6997072051327,3318.0455664394212,3297.064784785564,3280.2364206973093,3266.523083675999,3255.1944091959977,3245.722645603694,3237.718129017596,3230.887899594142,3225.008300576695,3219.9063285770817,3215.4466320020433,3211.522255221274,3208.0479275194175,3204.9551185507307,3202.1883438655514,3199.702370402222,3197.4600799159075,3195.430820027938,3193.5891210849277,3191.9136904158563,3190.3866189548344,3188.9927518146246,3187.7191863752546,3186.5548702008246,3185.4902775624446,3184.517148176409,3183.6282754100566,3182.8173339828577,3182.0787393175624,3181.4075323421143,3180.799284821351,3180.250021297955,3179.7561545087497,3179.3144317629576,3733.055549149518
1.4,3772.682749196249,3592.427904392781,3485.488657098531,3415.4918963982295,3366.629256578701,3330.925742506921,3303.925926418321,3282.948867424557,3266.288081200191,3252.8086946188214,3241.7291678056417,3232.4958299537907,3224.7071733247226,3218.0662780253015,3212.3498707079657,3207.387604852226,3203.047834978088,3199.227638046215,3195.8456839986447,3192.837060510438,3190.149464426925,3187.7403653754936,3185.5748712609616,3183.62410711202,3181.863973666343,3180.2741896616435,3178.837547947198,3177.539333998569,3176.3668686392566,3175.309146352612,3174.3565475815526,3173.5006085995,3172.7338364020598,3172.0495589723596,3171.441803467756,3170.905196545467,3170.434882320582,3170.0264544306942,3169.6758994376273,3169.379549382802,3772.682749196249
1.4999999999999998,3811.3627429105877,3602.2152614311867,3484.2137702675077,3409.322642098137,3358.115803869428,3321.24294751653,3293.652630693491,3272.381899334774,3255.5828301066995,3242.047070377774,3230.9543297456335,3221.7306166595204,3213.9640940319523,3207.3529530662495,3201.6719464239527,3196.7502441629285,3192.4564027159645,3188.6879377168552,3185.363954477728,3182.4198550510437,3179.8034831396644,3177.4722814502106,3175.391172448144,3173.530962648542,3171.8671300896817,3170.3788950860153,3169.0485022950447,3167.8606617096348,3166.802110079807,3165.8612642391413,3165.02794503827,3164.293155875488,3163.648903710033,3163.088053338715,3162.6042078782752,3162.1916100220133,3161.845059868075,3161.5598460510055,3161.3316876209265,3161.156684662154,3811.3627429105877
1.5,3811.3627429105877,3602.2152614311867,3484.2137702675077,3409.322642098137,3358.115803869428,3321.24294751653,3293.652630693491,3272.381899334774,3255.5828301066995,3242.047070377774,3230.9543297456335,3221.7306166595204,3213.9640940319523,3207.3529530662495,3201.6719464239527,3196.7502441629285,3192.4564027159645,3188.6879377168552,3185.363954477728,3182.4198550510437,3179.8034831396644,3177.4722814502106,3175.391172448144,3173.530962648542,3171.8671300896817,3170.3788950860153,3169.0485022950447,3167.8606617096348,3166.802110079807,3165.8612642391413,3165.02794503827,3164.293155875488,3163.648903710033,3163.088053338715,3162.6042078782752,3162.1916100220133,3161.845059868075,3161.5598460510055,3161.3316876209265,3161.156684662154,3602.2152614311867
1.6,3849.4035105859725,3612.862239510839,3484.6678707417627,3405.189823543331,3351.6607268541384,3313.5114356010286,3285.1741725286633,3263.443812171031,3246.3503649619465,3232.620636226176,3221.398491497804,3212.089462820316,3204.2696419333247,3197.629843660597,3191.940100461119,3187.0263758819056,3182.754886948455,3179.021311072555,3175.743211612589,3172.854632755538,3170.3021853385844,3168.0421749477596,3166.0384695840503,3164.2608990586405,3162.6840412052493,3161.2862924930014,3160.049149780483,3158.956650241772,3157.9949307929255,3157.151878535386,3156.41685106521,3155.7804508224403,3155.2343415540154,3154.771097839768,3154.3840807688275,3154.067334450388,3153.815499246417,3153.6237385222066,3153.4876764047044,3153.403344567726,3612.862239510839
1.7,3886.9922513919228,3623.9330427119507,3486.069611856495,3402.1773643606584,3346.3306916990405,3306.839844862686,3277.667670988332,3255.3886179133983,3237.9200723380727,3223.927355028509,3212.518837652962,3203.0784962869757,3195.168672812073,3188.4709697806074,3182.748937654108,3177.8237593565277,3173.5579727007243,3169.844319953582,3166.5979560313817,3163.7509079738797,3161.248073876433,3159.0442930810004,3157.1021734044384,3155.3904607530662,3153.882802179342,3152.5567975844824,3151.3932654092478,3150.375668527115,3149.489661190768,3148.7227282679073,3148.0638954432766,3147.503494451151,3147.0329713303004,3146.6447285871704,3146.3319942943226,3146.088712753667,3145.909452555058,3145.789328772983,3145.7239367366733,3145.7092953406577,3623.9330427119507
1.8,3924.238174812967,3635.184129743205,3488.0113714182803,3399.831246304922,3341.6826291077136,3300.820485164583,3270.7685301546026,3247.8942439588777,3230.0079300969546,3215.7152091401067,3204.0889903939915,3194.490964767783,3186.4687331724767,3179.693681006924,3173.9219748094733,3168.969264549384,3164.6938154961667,3160.9849907777166,3157.755223697215,3154.9343201959914,3152.4653493800456,3150.3016360294505,3148.4045301085075,3146.741732038483,3145.286020683873,3144.0142766464915,3142.9067245129445,3141.9463391348813,3141.1183760102854,3140.409996440491,3139.8099657246476,3139.3084081332336,3138.8966063977396,3138.56683639094,3138.3122298491876,3138.1266596152022,3138.0046431031747,3137.9412606153037,3137.9320858473257,3137.9731264647708,3635.184129743205
