# n=100
# --never-mutate-zero-bits=true
# --include-best-mutant=true
# --ignore-crossover-parent-duplicates=true
fitness,best-lambda,runtime-to-optimum
99,10.5,78.96821624785414
98,8.5,130.9502888278763
97,7.5,171.3811933935734
96,6.5,204.83962406541704
95,5.5,233.50035507424195
94,4.5,258.6528617812313
93,4.5,280.96036887440874
92,1.0,300.20955402446975
91,1.0,317.07942787974787
90,1.0,332.0517058970261
89,1.0,345.4757574770491
88,1.0,357.61350605390857
87,1.0,368.66632589404145
86,1.0,378.79234546713974
85,1.0,388.11798286606927
84,1.0,396.7458762738868
83,1.0,404.7604818226468
82,1.0,412.2321163857724
81,1.0,419.21993638268555
80,1.0,425.7741717965667
79,1.0,431.9378282055733
78,1.0,437.74800191842763
77,1.0,443.2369091469794
76,1.0,448.43270070949364
75,1.0,453.3601137400029
74,1.0,458.0409980201703
73,1.0,462.4947447975727
72,1.0,466.7386389882078
71,1.0,470.7881506166333
70,1.0,474.6571776479164
69,1.0,478.3582496209898
68,1.0,481.90269943458566
67,1.0,485.3008090775002
66,1.0,488.5619339024602
65,1.0,491.69460912294517
64,1.0,494.70664149683
63,1.0,497.60518859993806
62,1.0,500.3968276498634
61,1.0,503.08761548852937
60,1.0,505.68314105041566
59,1.0,508.1885714168163
58,1.0,510.6086923730476
57,1.0,512.9479442362413
56,1.0,515.2104535991951
55,1.0,517.4000615353299
54,1.0,519.5203487268254
53,1.0,521.5746579091727
52,1.0,523.5661139680107
51,1.0,525.4976419761117
50,1.0,527.3719834180648
49,1.0,529.1917108162093
48,1.0,530.9592409426095
47,1.0,532.676846777442
46,1.0,534.3466683533578
45,1.0,535.9707226076183
44,1.0,537.5509123485557
43,1.0,539.0890344298197
42,1.0,540.586787214581
41,1.0,542.0457774020991
40,1.0,543.4675262806176
39,1.0,544.8534754631786
38,1.0,546.2049921565855
37,1.0,547.5233740081164
36,1.0,548.8098535697376
35,1.0,550.0656024152574
34,1.0,551.2917349421122
33,1.0,552.4893118861432
32,1.0,553.6593435748171
31,1.0,554.8027929417382
30,1.0,555.9205783230223
29,1.0,557.0135760540682
28,1.0,558.0826228834503
27,1.0,559.1285182190571
26,1.0,560.1520262201591
25,1.0,561.1538777478144
24,1.0,562.1347721848684
23,1.0,563.0953791357848
22,1.0,564.0363400156162
21,1.0,564.958269536601
20,1.0,565.8617571001262
19,93.49999999999999,562.3005254507376
18,94.49999999999999,555.9026761632739
17,95.49999999999999,548.9834651854667
16,95.49999999999999,541.4418812908225
15,96.49999999999999,533.2630651627411
14,96.49999999999999,524.2245833283521
13,96.49999999999999,514.5235973152114
12,97.49999999999999,503.7796826869353
11,97.49999999999999,491.74979294535825
10,97.49999999999999,478.59436866449624
9,97.49999999999999,464.121484359275
8,98.36677197010654,447.6095070977229
7,98.49999999999999,428.3729214993209
6,98.49999999999999,406.75028462533584
5,98.49999999999999,382.62225306653033
4,99.07779170901232,354.17624025109944
3,99.18284111647579,320.30517801266444
2,99.27160734983579,280.12929628512677
1,99.45755727061923,233.19223114654173
0,100.0,163.39676587268073
